price,rsi,vol,DateTime
1075.50,38.4612,795,29/10/2018 14:41:00
1076.40,45.4416,893,29/10/2018 14:42:00
1076.40,45.4416,698,29/10/2018 14:43:00
1075.80,41.7776,393,29/10/2018 14:44:00
1075.20,38.4398,385,29/10/2018 14:45:00
1075.50,40.9789,368,29/10/2018 14:46:00
1076.40,47.9190,855,29/10/2018 14:47:00
1076.90,51.3421,1153,29/10/2018 14:48:00
1077.40,54.5586,566,29/10/2018 14:49:00
1077.20,53.0480,620,29/10/2018 14:50:00
1077.00,51.5121,531,29/10/2018 14:51:00
1076.70,49.2105,157,29/10/2018 14:52:00
1077.00,51.5422,267,29/10/2018 14:53:00
1076.50,47.6184,347,29/10/2018 14:54:00
1076.60,48.4634,197,29/10/2018 14:55:00
1077.20,53.3284,195,29/10/2018 14:56:00
1076.90,50.7488,180,29/10/2018 14:57:00
1077.20,53.1874,195,29/10/2018 14:58:00
1077.70,57.0081,682,29/10/2018 14:59:00
1076.70,48.4850,618,29/10/2018 15:00:00
1076.00,43.5739,1116,29/10/2018 15:01:00
1076.60,48.3986,459,29/10/2018 15:02:00
1076.60,48.3986,178,29/10/2018 15:03:00
1076.40,46.8499,237,29/10/2018 15:04:00
1076.50,47.7502,164,29/10/2018 15:05:00
1076.80,50.4610,96,29/10/2018 15:06:00
1076.60,48.6489,176,29/10/2018 15:07:00
1076.70,49.6230,50,29/10/2018 15:08:00
1076.80,50.6316,114,29/10/2018 15:09:00
1076.50,47.5557,336,29/10/2018 15:10:00
1076.60,48.6750,121,29/10/2018 15:11:00
1076.20,44.5767,261,29/10/2018 15:12:00
1076.80,51.2123,242,29/10/2018 15:13:00
1076.40,47.1587,201,29/10/2018 15:14:00
1076.60,49.3188,78,29/10/2018 15:15:00
1075.60,40.4214,469,29/10/2018 15:16:00
1076.70,50.9120,424,29/10/2018 15:17:00
1076.80,51.7439,840,29/10/2018 15:18:00
1077.50,57.2103,442,29/10/2018 15:19:00
1076.90,51.7944,221,29/10/2018 15:20:00
1077.10,53.3787,187,29/10/2018 15:21:00
1077.30,54.9725,121,29/10/2018 15:22:00
1077.80,58.7673,186,29/10/2018 15:23:00
1076.00,44.2945,620,29/10/2018 15:24:00
1076.00,44.2945,1007,29/10/2018 15:25:00
1076.00,44.2945,470,29/10/2018 15:26:00
1076.00,44.2945,185,29/10/2018 15:27:00
1076.80,51.4431,426,29/10/2018 15:28:00
1076.70,50.5696,473,29/10/2018 15:29:00
1076.10,45.5693,303,29/10/2018 15:30:00
1076.40,48.3208,193,29/10/2018 15:31:00
1076.50,49.2419,480,29/10/2018 15:32:00
1076.70,51.1184,73,29/10/2018 15:33:00
1076.40,48.2377,78,29/10/2018 15:34:00
1076.90,52.9924,340,29/10/2018 15:35:00
1076.40,48.2221,279,29/10/2018 15:36:00
1076.90,52.7980,164,29/10/2018 15:37:00
1077.40,56.8999,420,29/10/2018 15:38:00
1077.30,55.8545,494,29/10/2018 15:39:00
1077.00,52.7247,228,29/10/2018 15:40:00
1077.10,53.6569,103,29/10/2018 15:41:00
1076.90,51.4709,254,29/10/2018 15:42:00
1076.10,43.7866,591,29/10/2018 15:43:00
1076.20,44.8941,256,29/10/2018 15:44:00
1076.20,44.8941,73,29/10/2018 15:45:00
1076.20,44.8941,85,29/10/2018 15:46:00
1076.20,44.8941,115,29/10/2018 15:47:00
1076.00,42.6345,233,29/10/2018 15:48:00
1076.40,48.2451,172,29/10/2018 15:49:00
1076.90,54.2663,513,29/10/2018 15:50:00
1076.70,51.6765,110,29/10/2018 15:51:00
1077.20,57.1785,645,29/10/2018 15:52:00
1077.40,59.1806,235,29/10/2018 15:53:00
1077.40,59.1806,268,29/10/2018 15:54:00
1077.00,53.3906,246,29/10/2018 15:55:00
1076.70,49.4805,293,29/10/2018 15:56:00
1076.70,49.4805,376,29/10/2018 15:57:00
1077.40,57.8365,147,29/10/2018 15:58:00
1076.50,47.0591,271,29/10/2018 15:59:00
1076.50,47.0591,277,29/10/2018 16:00:00
1076.60,48.3006,133,29/10/2018 16:01:00
1073.60,27.4810,2772,29/10/2018 16:02:00
1073.70,28.5860,1985,29/10/2018 16:03:00
1074.50,36.8731,799,29/10/2018 16:04:00
1073.00,29.8733,1697,29/10/2018 16:05:00
1072.80,29.0806,897,29/10/2018 16:06:00
1072.10,26.4365,1366,29/10/2018 16:07:00
1073.00,34.6621,1350,29/10/2018 16:08:00
1072.70,33.3245,848,29/10/2018 16:09:00
1072.00,30.3787,920,29/10/2018 16:10:00
1072.10,31.3128,1139,29/10/2018 16:11:00
1073.20,40.7329,1041,29/10/2018 16:12:00
1073.00,39.6677,620,29/10/2018 16:13:00
1072.40,36.5773,702,29/10/2018 16:14:00
1072.70,39.1308,606,29/10/2018 16:15:00
1072.70,39.1308,221,29/10/2018 16:16:00
1072.80,40.0636,296,29/10/2018 16:17:00
1073.00,41.9789,484,29/10/2018 16:18:00
1073.30,44.8269,416,29/10/2018 16:19:00
1074.00,50.8849,1361,29/10/2018 16:20:00
1074.70,56.0784,1408,29/10/2018 16:21:00
1075.00,58.1222,1463,29/10/2018 16:22:00
1075.20,59.4760,418,29/10/2018 16:23:00
1074.80,55.6043,583,29/10/2018 16:24:00
1075.10,57.8220,660,29/10/2018 16:25:00
1075.10,57.8220,269,29/10/2018 16:26:00
1076.00,64.0671,983,29/10/2018 16:27:00
1076.00,64.0671,1018,29/10/2018 16:28:00
1076.70,68.3008,1709,29/10/2018 16:29:00
1076.00,60.6102,751,29/10/2018 16:30:00
1076.80,65.4045,386,29/10/2018 16:31:00
1076.50,62.3402,403,29/10/2018 16:32:00
1076.40,61.3091,152,29/10/2018 16:33:00
1076.50,61.9862,600,29/10/2018 16:34:00
1076.70,63.3671,399,29/10/2018 16:35:00
1076.90,64.7462,576,29/10/2018 16:36:00
1076.70,62.2235,349,29/10/2018 16:37:00
1076.80,62.9998,332,29/10/2018 16:38:00
1078.50,73.1143,1678,29/10/2018 16:39:00
1079.10,75.6448,2193,29/10/2018 16:40:00
1078.80,71.9960,575,29/10/2018 16:41:00
1078.90,72.4726,668,29/10/2018 16:42:00
1079.90,76.7368,1490,29/10/2018 16:43:00
1080.00,77.1186,1254,29/10/2018 16:44:00
